Klient;Oczekiwany termin realizacji;Termin potwierdzony;Zewn. nr zamówienia;Produkt;Sztuk;Uwagi dla wszystkich;Uwagi niewidoczne dla produkcji;Atrybut 1 (opcjonalnie);Atrybut 2 (opcjonalnie);Atrybut 3 (opcjonalnie)
Valeo OEM 1;23.04.2024;23.04.2024;395000;K5W 600x600x450 x;1;;;;;
Valeo OEM 1;23.04.2024;23.04.2024;395001;2419x1039 / StoraEnso;1;;;;;
